name,type,aware,skill,access,hours_start,hours_end,User,patch,ports,VLAN,AV,Filtering,Data_Value,Repair_Value,Network,Malware,Target_Level,Status
mob04,Mobile,,,,07:30,18:00,user08,73,,VLAN15,90,,"15,000","5,000",,,,0
mob05,Mobile,,,,08:00,17:00,user09,68,,VLAN14,72,,"6,000","3,500",,,,0
mob06,Mobile,,,,09:00,18:00,user10,71,,VLAN15,74,,"8,000","3,500",,,,0
PC01,PC,,,,08:30,18:30,user06,78,55,VLAN01,70,,"2,000","2,000",,,,0
PC02,PC,,,,12:00,22:00,user05,82,85,VLAN01,75,,"5,000","2,000",,,,0
PC03,PC,,,,10:00,20:00,user04,82,60,VLAN01,75,,"10,000","2,000",,,,0
PC04,PC,,,,07:00,17:30,user03,75,50,VLAN01,92,,"25,000","2,000",,,,0
PC05,PC,,,,08:00,17:00,user09,76,58,VLAN01,73,,"3,000","2,000",,,,0
PC06,PC,,,,09:00,18:00,user10,79,62,VLAN01,76,,"4,000","2,000",,,,0
PC07,PC,,,,10:30,19:30,user11,80,65,VLAN01,77,,"7,000","2,000",,,,0
PC08,PC,,,,11:00,20:00,user12,83,88,VLAN01,79,,"12,000","2,000",,,,0
Target,Global,,,,,,,,,,,,,,,,50,
ISP01,Internet,,,,,,,,,"VLAN11, VLAN14, VLAN15",,75,,,,,,0
ISP02,Internet,,,,,,,,,"VLAN12, VLAN14, VLAN15",,85,,,,,,0
VLAN01,Network,,,,,,,,,,,,,,5,,,
VLAN02,Network,,,,,,,,,,,,,,5,,,
VLAN03,Network,,,,,,,,,,,,,,5,,,
VLAN04,Network,,,,,,,,,,,,,,5,,,
VLAN05,Network,,,,,,,,,,,,,,5,,,
VLAN06,Network,,,,,,,,,,,,,,2,,,
VLAN07,Network,,,,,,,,,,,,,,5,,,
VLAN08,Network,,,,,,,,,,,,,,1,,,
VLAN09,Network,,,,,,,,,,,,,,5,,,
VLAN10,Network,,,,,,,,,,,,,,5,,,
VLAN11,Network,,,,,,,,,,,,,,5,,,
VLAN12,Network,,,,,,,,,,,,,,5,,,
VLAN13,Network,,,,,,,,,,,,,,5,,,
VLAN14,Network,,,,,,,,,,,,,,3,,,
VLAN15,Network,,,,,,,,,,,,,,3,,,
